selection_type,target_flow,target_air2,target_t2,base_air2,base_t2,Row/Case,Status,Description,HEATER2_output_T_SP,air2_SP_m3,air2_SP,acidgas_Fm,AIRFLOW _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,ACIDGAS _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,H2S _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,SO2OUT _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,H2SOUT _x000D_ _x000D_ _x000D_ _x000D_ _x000D_ KMOL/HR _x000D_,B35_H2S,B35_SO2,acidgas_T,acidgas_P,Total_S
base,140.5,190.0,230.0,189.2292879,229.74359,4238,OK,,229.74359,189.2292879,10.9890462,140.5,123.6,140.5,54.953539,0.265833056,2.29948476,0.013893338,0.003339393,83.6,1.6722,0.01723273
air2_below,140.5,190.0,230.0,189.2292879,229.74359,4235,OK,,229.74359,185.1246497,10.7507923,140.5,123.6,140.5,54.953539,0.247556516,2.36422025,0.014301147,0.00311276,83.6,1.6722,0.017413907
t2_below,140.5,190.0,230.0,189.2292879,229.74359,4118,OK,,227.179487,189.2292879,10.9890462,140.5,123.6,140.5,54.953539,0.251773057,2.27136075,0.013724636,0.003163624,83.6,1.6722,0.01688826
base,140.5,223.0,230.0,222.0663848,229.74359,4262,OK,,229.74359,222.0663848,12.8950769,140.5,123.6,140.5,54.953539,0.450408917,1.84909687,0.011066016,0.005611364,83.6,1.6722,0.01667738
air2_below,140.5,223.0,230.0,222.0663848,229.74359,4259,OK,,229.74359,217.9617484,12.6568231,140.5,123.6,140.5,54.953539,0.422543573,1.90072299,0.011388697,0.005270037,83.6,1.6722,0.016658734
t2_below,140.5,223.0,230.0,222.0663848,229.74359,4142,OK,,227.179487,222.0663848,12.8950769,140.5,123.6,140.5,54.953539,0.433326087,1.81492695,0.010862689,0.005400294,83.6,1.6722,0.016262984
base,161.0,270.0,230.0,271.3220328,229.74359,4299,OK,,229.74359,271.3220328,15.7541231,160.0,123.6,160.0,62.5805426,0.018642916,7.50502891,0.041702937,0.000212537,83.6,1.6722,0.041915474
air2_below,161.0,270.0,230.0,271.3220328,229.74359,4296,OK,,229.74359,267.2173946,15.5158692,160.0,123.6,160.0,62.5805426,0.017753359,7.59749463,0.042255452,0.000202498,83.6,1.6722,0.04245795
t2_below,161.0,270.0,230.0,271.3220328,229.74359,4179,OK,,227.179487,271.3220328,15.7541231,160.0,123.6,160.0,62.5805426,0.017001719,7.50174585,0.041685091,0.000193832,83.6,1.6722,0.041878923
base,161.0,270.0,178.0,271.3220328,178.461538,1899,OK,,178.461538,271.3220328,15.7541231,160.0,123.6,160.0,62.5805426,0.002414987,7.47256649,0.041526464,2.75e-05,83.6,1.6722,0.041554003
air2_below,161.0,270.0,178.0,271.3220328,178.461538,1896,OK,,178.461538,267.2173946,15.5158692,160.0,123.6,160.0,62.5805426,0.00228596,7.56655357,0.042087145,2.61e-05,83.6,1.6722,0.042113226
t2_below,161.0,270.0,178.0,271.3220328,178.461538,1779,OK,,175.897436,271.3220328,15.7541231,160.0,123.6,160.0,62.5805426,0.002151152,7.47203871,0.041523594,2.45e-05,83.6,1.6722,0.041548125
base,161.0,270.0,155.0,271.3220328,155.384615,819,OK,,155.384615,271.3220328,15.7541231,160.0,123.6,160.0,62.5805426,0.000710466,7.46915675,0.041507926,8.1e-06,83.6,1.6722,0.041516028
air2_below,161.0,270.0,155.0,271.3220328,155.384615,816,OK,,155.384615,267.2173946,15.5158692,160.0,123.6,160.0,62.5805426,0.00089788,7.56377684,0.042072039,1.02e-05,83.6,1.6722,0.042082284
t2_below,161.0,270.0,155.0,271.3220328,155.384615,699,OK,,152.820513,271.3220328,15.7541231,160.0,123.6,160.0,62.5805426,0.000729148,7.46919412,0.041508129,8.32e-06,83.6,1.6722,0.041516444
base,161.0,223.0,155.0,222.0663848,155.384615,783,OK,,155.384615,222.0663848,12.8950769,160.0,123.6,160.0,62.5805426,0.000399764,8.74363559,0.049101163,4.58e-06,83.6,1.6722,0.049105748
air2_below,161.0,223.0,155.0,222.0663848,155.384615,780,OK,,155.384615,217.9617484,12.6568231,160.0,123.6,160.0,62.5805426,0.000384292,8.81482906,0.049558272,4.41e-06,83.6,1.6722,0.049562683
t2_below,161.0,223.0,155.0,222.0663848,155.384615,663,OK,,152.820513,222.0663848,12.8950769,160.0,123.6,160.0,62.5805426,0.000351581,8.7435392,0.049100636,4.03e-06,83.6,1.6722,0.049104668
base,161.0,190.0,155.0,189.2292879,155.384615,759,OK,,155.384615,189.2292879,10.9890462,160.0,123.6,160.0,62.5805426,0.000247326,9.54626298,0.054005949,2.85e-06,83.6,1.6722,0.054008798
air2_below,161.0,190.0,155.0,189.2292879,155.384615,756,OK,,155.384615,185.1246497,10.7507923,160.0,123.6,160.0,62.5805426,0.000242548,9.66323228,0.054713747,2.8e-06,83.6,1.6722,0.054716542
t2_below,161.0,190.0,155.0,189.2292879,155.384615,639,OK,,152.820513,189.2292879,10.9890462,160.0,123.6,160.0,62.5805426,0.00022662,9.54622156,0.054005721,2.61e-06,83.6,1.6722,0.054008332
base,161.0,190.0,178.0,189.2292879,178.461538,1839,OK,,178.461538,189.2292879,10.9890462,160.0,123.6,160.0,62.5805426,0.000940596,9.5476498,0.054013574,1.08e-05,83.6,1.6722,0.054024409
air2_below,161.0,190.0,178.0,189.2292879,178.461538,1836,OK,,178.461538,185.1246497,10.7507923,160.0,123.6,160.0,62.5805426,0.000739633,9.66422666,0.054719217,8.52e-06,83.6,1.6722,0.054727741
t2_below,161.0,190.0,178.0,189.2292879,178.461538,1719,OK,,175.897436,189.2292879,10.9890462,160.0,123.6,160.0,62.5805426,0.000697871,9.54716425,0.054010905,8.04e-06,83.6,1.6722,0.054018943
base,161.0,190.0,230.0,189.2292879,229.74359,4239,OK,,229.74359,189.2292879,10.9890462,160.0,123.6,160.0,62.5805426,0.00662037,9.5590117,0.054076044,7.62e-05,83.6,1.6722,0.054152293
air2_below,161.0,190.0,230.0,189.2292879,229.74359,4236,OK,,229.74359,185.1246497,10.7507923,160.0,123.6,160.0,62.5805426,0.006262394,9.67527447,0.054779988,7.22e-05,83.6,1.6722,0.05485215
t2_below,161.0,190.0,230.0,189.2292879,229.74359,4119,OK,,227.179487,189.2292879,10.9890462,160.0,123.6,160.0,62.5805426,0.006010515,9.55779174,0.054069336,6.92e-05,83.6,1.6722,0.054138563
base,161.0,223.0,230.0,222.0663848,229.74359,4263,OK,,229.74359,222.0663848,12.8950769,160.0,123.6,160.0,62.5805426,0.009778364,8.76239664,0.049203819,0.000112118,83.6,1.6722,0.049315936
air2_below,161.0,223.0,230.0,222.0663848,229.74359,4260,OK,,229.74359,217.9617484,12.6568231,160.0,123.6,160.0,62.5805426,0.009437561,8.83293931,0.049657457,0.000108305,83.6,1.6722,0.049765762
t2_below,161.0,223.0,230.0,222.0663848,229.74359,4143,OK,,227.179487,222.0663848,12.8950769,160.0,123.6,160.0,62.5805426,0.008891342,8.76062223,0.04919411,0.000101949,83.6,1.6722,0.049296059
