,QV1_AI01,QV2_AI02,SV1_FI05,SV2_FI06,SV3_TI06,SV4_TI01,SV5_PI06,SV6_AT02,SV7_TI02,SV8_TI03,SV9_FT04,SV10_TI04,SV11_TI05,SV12_TI07,SV13_FIC02,SV14_TI08,SV15_TIC12,SV16_TI09,SV17_PI04,SV18_PIC03,SV19_TI10,SV20_PI05,SV21_TI11,SV22_PIC02,SV23_FIC01,SV24_FIC02
t+21,0.6828895939977431,0.5697106311231361,0.34087371628497487,0.36472165974487747,0.14088858952326844,0.5092137852919665,0.20675396176842542,0.6098511369751054,0.31494742771367856,0.5193480306380953,0.35158432150316554,0.03791591419544571,0.2518943833892112,0.22072887657824436,0.3745462651597419,0.1381484372872348,0.0244893506158268,0.01137351700931577,-0.021979784550367976,0.011401506232008085,0.038040080493889294,0.19586959447551167,0.3489440686552193,0.005760106311489377,0.3126028996573722,0.04093143379934083
t+22,0.7294021545725579,0.5969422830210894,0.3526580904606693,0.36698999828377876,0.16627585096371356,0.5308695106253145,0.22344161630618065,0.6252389246756288,0.36273070845021993,0.5453497671641521,0.38332164850599826,0.0346877651776728,0.26990951540177155,0.268266226082148,0.3695842636994614,0.1548018352652335,0.026662109273009937,0.014533842967529131,-0.010895179015285361,0.018350718668083243,0.034985079738410585,0.20926163740452097,0.35696670818989296,-0.0002662785806404333,0.3615868347917943,0.03843591306496419
t+23,0.7608526046685905,0.6064025809095808,0.3606484964999308,0.3693849807896735,0.18339408175177574,0.5475787479214695,0.2340944462770489,0.6248853139838009,0.39866487986126176,0.5571934586822803,0.40144734849246266,0.03168397873839157,0.2812597146045974,0.2985250320650765,0.3617651100110827,0.16473860031004706,0.02856520397718698,0.01683585501928042,-0.003726810181955198,0.022200520438743654,0.03182795752339207,0.2173372800369806,0.36646130633832386,-0.0031803340580895956,0.39550825736941897,0.03389778363570284
t+24,0.7799707067419276,0.6051126468611148,0.3661856336401388,0.37115341014688785,0.19432234589939257,0.5594418932782177,0.24053212641002608,0.6160607427125304,0.42415468627466557,0.5612335352856563,0.41003336285854475,0.029363858937393128,0.2873046398536613,0.31564189733965786,0.35312927024589724,0.16987904480618532,0.03004771585544752,0.01818520697075976,0.0004944393745973663,0.023878247665288788,0.029503532066370908,0.22182536966724453,0.37438623394381354,-0.0040002843881885575,0.4175011913992486,0.029272847558824977
t+25,0.7904996272119004,0.5988885086293705,0.3701530303668754,0.3721450581205582,0.2009901005581698,0.567463348110542,0.24448982629372518,0.604262193882102,0.4416230691428188,0.5622577411483265,0.4128391274637989,0.027853167605281004,0.2898376770917169,0.32439048595815956,0.34496713389747347,0.1718878452410657,0.031243460097483355,0.018896696358041254,0.00298056151825965,0.024335016327615144,0.028182524605286363,0.22413926587294586,0.38009593384180185,-0.0036764055558520248,0.4310965174072352,0.025420555258038324
t+26,0.7956833473303837,0.5913016324516273,0.37314939611894493,0.3724892173697748,0.20488575814288534,0.5727700438856329,0.24715613910371947,0.5926453918122593,0.4533478918028413,0.5627471557291639,0.41254132006321487,0.027067572396545114,0.29037758375864464,0.32839390931100054,0.33790089136812373,0.17204834014204906,0.03226155279225695,0.01931515046670651,0.004625408223781768,0.02426229844085659,0.02772132889842749,0.22529955684918757,0.3838911212519176,-0.0028374071664591938,0.4391734538986648,0.022556992151776534
t+27,0.797829980676443,0.5841384766565805,0.375580354811637,0.3723966504353523,0.20704976925247864,0.5762734420471365,0.24922333992647372,0.5826396936087906,0.46110263972445953,0.5635840675268846,0.4108167151725223,0.026829548215084764,0.28995931681843634,0.32992962650394764,0.3321213926793749,0.17126981335795854,0.033151033531211294,0.01966537886534403,0.005922846263482273,0.02406295037573103,0.02788219418649507,0.22596428485345743,0.3862937508942814,-0.0018490941907642888,0.4437964840051608,0.020589292151184768
t+28,0.7984071952630545,0.5780984594034162,0.3777128198445945,0.37207590898566456,0.20817389855851764,0.5786083739327638,0.2510542057892148,0.5746601851532465,0.466164390270311,0.5648483644314788,0.4086361112268091,0.026940485556253946,0.28920552090818075,0.33027498388446286,0.3275919732752328,0.1701389633500887,0.033915456021430535,0.02004458476079607,0.007080921577109378,0.023924474325116574,0.02842846921284581,0.2265188780717451,0.38778585232604157,-0.0009078278219254443,0.4463389143877544,0.01931714838586207
t+29,0.7982728043060037,0.5733182280904044,0.3797118823683924,0.37168527586495226,0.20869513573356746,0.5801954064328858,0.2528237983367235,0.5686114688929633,0.4694222910336202,0.5663317151557863,0.4065052508208403,0.027227262225094084,0.28844676197049113,0.3300942426142628,0.32417019513136036,0.16899743244513799,0.034547625280728855,0.02046509447919298,0.008153046594545743,0.023902354463345654,0.029167013804178077,0.22716516599645997,0.388733100635949,-0.00010830418315821433,0.44767454882838187,0.018533792212324318
t+30,0.7978873345750745,0.569680343599092,0.381670589574276,0.37133127394953713,0.20887977234966193,0.5813022448202106,0.25460947080989205,0.5641860746076978,0.4714885021357518,0.5678041790678625,0.4046540032030598,0.02755793322742628,0.28783128068221575,0.32971015340244136,0.32167755349815474,0.16801453202199157,0.03504517544262731,0.02090310525584904,0.009130763828340549,0.023986032224853293,0.029956244083522376,0.22799127382541062,0.3893852775888845,0.0005165191060760854,0.44834342753069845,0.018080182647370213
